detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city
杭州市滨江区浦沿街道杨家墩社区上沙庙42号,2,杭州市,13,滨江区,128,浦沿街道,4,11882767,42号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882767,42号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙134号,2,杭州市,13,滨江区,128,浦沿街道,4,11882833,134号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882833,134号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙84号,2,杭州市,13,滨江区,128,浦沿街道,4,11882837,84号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882837,84号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙41号,2,杭州市,13,滨江区,128,浦沿街道,4,11882766,41号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882766,41号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙27号,2,杭州市,13,滨江区,128,浦沿街道,4,11882788,27号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882788,27号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙19号,2,杭州市,13,滨江区,128,浦沿街道,4,11882780,19号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882780,19号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙116号,2,杭州市,13,滨江区,128,浦沿街道,4,11882869,116号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882869,116号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙36号,2,杭州市,13,滨江区,128,浦沿街道,4,11882797,36号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882797,36号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙126号,2,杭州市,13,滨江区,128,浦沿街道,4,11882879,126号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882879,126号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙74号,2,杭州市,13,滨江区,128,浦沿街道,4,11882807,74号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882807,74号,\N,\N,\N,\N,\N,\N,20220601,2
