detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,remark
杭州市西湖区三墩镇祥余路五幸社区1幢1单元1层倪家坝35号-3,2,杭州市,19,西湖区,269,三墩镇,7,18981589,倪家坝35号-3,2205730,祥余路,14027037,五幸社区,\N,\N,18979149,1幢,18979150,1单元,18979151,1层,18981589,倪家坝35号-3,20220601,2,浙江省,杭州市,西湖区,三墩镇,五幸社区,祥余路,,倪家坝,,1幢,1单元,1层,35号3,-
杭州市西湖区双浦镇灵山村灵山村韩胜荣2幢101,2,杭州市,19,西湖区,270,双浦镇,7,31389845,101,8260761,灵山村,31389572,灵山村,\N,\N,31389844,韩胜荣2幢,\N,\N,\N,\N,31389845,101,20220601,2,浙江省,杭州市,西湖区,双浦镇,灵山村,,,,,2幢,,,101,
杭州市西湖区文新街道文一西路雅仕苑小区商铺153号商铺21层文一西路157号,2,杭州市,19,西湖区,271,文新街道,7,15664776,文一西路157号,1445,文一西路,15664735,雅仕苑小区商铺,\N,\N,15664746,153号,15664748,商铺2,15664750,1层,15664776,文一西路157号,20220601,2,浙江省,杭州市,西湖区,文新街道,,文一西路,,雅仕苑小区商铺,,153号,,1层,157号,商铺2
杭州市西湖区蒋村街道五常港路融创河滨之城西区9幢1单元10楼,2,杭州市,19,西湖区,5126,蒋村街道,6,88626928,0楼,33541913,五常港路,88626447,融创河滨之城,88626653,西区,88626926,9幢1,88626927,单元1,88626928,0楼,\N,\N,20220601,2,浙江省,杭州市,西湖区,蒋村街道,,五常港路,,融创河滨之城,西区,9幢,,0楼,1,单元1
杭州市西湖区文新街道府新社区五联西苑378号2单元5层,2,杭州市,19,西湖区,271,文新街道,6,55607986,5层,39243,府新社区,5557064,五联西苑,\N,\N,55606294,378号,55606296,2单元,55607986,5层,\N,\N,20220601,2,浙江省,杭州市,西湖区,文新街道,府新社区,,,五联西苑,,378号,2单元,5层,,
杭州市西湖区三墩镇厚诚路厚诚社区_卸紫桥_庙前街42号1层101（CTT-高新）,2,杭州市,19,西湖区,269,三墩镇,7,25192052,101（CTT-高新）,40350,厚诚路,10556554,厚诚社区_,20766980,卸紫桥_,25192050,庙前街42号,\N,\N,25192051,1层,25192052,101（CTT-高新）,20220601,2,浙江省,杭州市,西湖区,三墩镇,厚诚社区,厚诚路卸紫桥庙前街,42号,,,,,1层,101,（CTT-高新）
杭州市西湖区双浦镇袁浦街沿街商铺袁浦街32号商铺,2,杭州市,19,西湖区,270,双浦镇,4,28561047,袁浦街32号商铺,2416632,袁浦街,28560785,沿街商铺,\N,\N,28561047,袁浦街32号商铺,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,双浦镇,,袁浦街,,沿街商铺袁浦街32号商铺,,,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭13号,2,杭州市,19,西湖区,274,转塘镇,4,18783776,13号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783776,13号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,13号,,,,
杭州市西湖区西溪街道保俶路沿山河新村35号9幢,2,杭州市,19,西湖区,273,西溪街道,4,54981798,9幢,2204619,保俶路,33568185,沿山河新村,54981797,35号,54981798,9幢,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,西溪街道,沿山河新村,保俶路,35号,,,9幢,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭13号,2,杭州市,19,西湖区,274,转塘镇,4,18783776,13号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783776,13号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,13号,,,,
