,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
101,帝豪L 雷神Hi·X,12.98,14.58,领动PHEV,19.78,22.18
102,帝豪L,9.39,10.99,影豹,9.83,13.68
103,帝豪L,9.39,10.99,影豹,9.83,13.68
104,帝豪L,9.39,10.99,奕炫MAX,9.39,13.79
105,帝豪L,9.39,10.99,奕炫MAX,9.39,13.79
106,帝豪L,9.39,10.99,锐程CC,9.79,11.29
107,帝豪L,9.39,10.99,锐程CC,9.79,11.29
108,帝豪L,9.39,10.99,缤瑞,7.98,10.98
109,帝豪L,9.39,10.99,缤瑞,7.98,10.98
110,嘉际,11.98,14.28,宝骏RM-5,7.88,12.08
111,嘉际,11.98,14.28,宝骏RM-5,7.88,12.08
112,嘉际,11.98,14.28,上汽大通MAXUS G50,8.68,16.58
113,嘉际,11.98,14.28,上汽大通MAXUS G50,8.68,16.58
114,嘉际,11.98,14.28,瑞虎8,9.58,16.8888
115,嘉际,11.98,14.28,瑞虎8,9.58,16.8888
116,嘉际,11.98,14.28,哈弗H6,9.89,15.70
117,嘉际,11.98,14.28,哈弗H6,9.89,15.70
118,博瑞,13.18,14.38,红旗H5,14.58,19.08
119,博瑞,13.18,14.38,红旗H5,14.58,19.08
120,博瑞,13.18,14.38,名图,13.38,16.88
121,博瑞,13.18,14.38,名图,13.38,16.88
122,博瑞,13.18,14.38,速腾,12.79,17.29
123,博瑞,13.18,14.38,速腾,12.79,17.29
124,博瑞,13.18,14.38,卡罗拉,10.98,15.98
125,博瑞,13.18,14.38,卡罗拉,10.98,15.98
126,缤越新能源,11.98,13.58,本田XR-V,12.79,17.59
127,缤越新能源,11.98,13.58,本田XR-V,12.79,17.59
128,缤越新能源,11.98,13.58,领克06,11.86,13.98
129,缤越新能源,11.98,13.58,领克06,11.86,13.98
130,缤越新能源,11.98,13.58,缤智,12.78,17.68
131,缤越新能源,11.98,13.58,缤智,12.78,17.68
132,缤越新能源,11.98,13.58,奕泽IZOA,14.58,18.98
133,缤越新能源,11.98,13.58,奕泽IZOA,14.58,18.98
134,星越S,13.57,17.17,星越,12.78,18.78
135,星越S,13.57,17.17,星越,12.78,18.78
136,星越S,13.57,17.17,传祺GS4 Coupe,13.68,14.68
137,星越S,13.57,17.17,传祺GS4 Coupe,13.68,14.68
138,星越S,13.57,17.17,长安CS85 COUPE,11.99,16.49
139,星越S,13.57,17.17,长安CS85 COUPE,11.99,16.49
